fid,village_id,farmer_id,srtm_eleva,soilclay,soilsand,soilcarbon,soilwater
116,13,117,22,30,42,3,35
117,13,118,22,30,42,3,35
118,13,119,22,30,42,3,35
119,13,120,22,28,46,3,34
120,14,121,17,30,45,3,35
121,14,122,17,30,45,3,35
122,14,123,16,29,46,4,35
123,14,124,17,30,45,3,35
124,14,125,15,29,46,4,35
125,14,126,16,29,46,4,35
126,14,127,15,29,46,4,35
127,14,128,16,29,46,4,35
128,14,129,16,29,46,4,35
129,14,130,17,30,45,3,35
130,15,131,21,30,43,3,34
131,15,132,20,30,43,3,34
132,15,133,20,29,43,3,35
133,15,134,20,29,43,3,35
134,15,135,19,29,43,3,35
135,15,136,21,29,43,3,35
136,15,137,21,30,43,3,34
137,15,138,19,30,43,3,34
138,15,139,21,29,43,3,35
139,15,140,19,29,43,3,35
140,18,161,22,25,47,3,33
141,18,162,23,26,46,3,32
142,18,163,24,24,48,3,33
143,18,164,22,25,47,3,33
144,18,165,22,26,46,3,32
145,18,166,24,24,48,3,33
146,18,167,22,25,47,3,33
147,18,168,22,25,47,3,33
148,18,169,21,25,47,3,33
149,18,170,22,26,46,3,32
150,20,181,21,24,48,3,33
151,20,182,23,23,49,3,32
152,20,183,24,25,47,3,32
153,20,184,24,23,49,3,32
154,20,185,21,26,45,3,33
155,20,186,22,25,47,3,32
156,20,187,22,25,47,3,32
157,20,188,21,25,47,3,33
158,20,189,21,26,45,3,33
159,20,190,22,24,48,3,32
160,22,191,19,25,48,2,35
161,22,192,19,25,48,2,35
162,22,193,19,26,49,2,36
163,22,194,17,26,49,2,36
164,22,195,19,26,49,2,36
165,22,196,19,26,49,2,36
166,22,197,17,26,49,2,36
167,22,198,17,25,48,2,35
168,22,199,19,25,48,2,35
169,22,200,19,26,49,2,36
170,23,201,15,27,46,4,35
171,23,202,14,27,46,4,32
172,23,203,14,27,46,4,35
173,23,204,15,27,46,4,32
174,23,205,14,27,48,4,37
175,23,206,17,27,46,4,32
176,23,207,17,27,46,4,32
177,23,208,14,27,46,4,32
178,23,209,16,27,46,4,32
179,23,210,16,27,46,4,32
180,24,211,15,26,47,5,35
181,24,212,13,27,46,3,36
182,24,213,12,27,44,3,39
183,24,214,14,26,46,3,38
184,24,215,13,27,44,3,39
185,24,216,12,27,46,3,36
186,24,217,12,27,46,3,36
187,24,218,12,27,46,3,36
188,24,219,13,26,44,6,39
189,24,220,11,26,44,6,39
190,25,221,17,25,50,4,34
191,25,222,17,23,50,3,34
192,25,223,17,23,50,3,34
193,25,224,17,23,50,3,34
194,25,225,17,25,50,4,34
195,25,226,17,23,50,3,34
196,25,227,17,25,50,4,34
197,25,228,17,23,50,3,34
198,25,229,14,25,50,4,34
199,25,230,14,25,50,4,34
200,26,231,11,27,50,3,35
201,26,232,19,25,50,4,37
202,26,233,19,25,50,4,37
203,26,234,11,27,50,3,35
204,26,235,16,27,50,3,35
205,26,236,16,27,50,3,35
206,26,237,11,27,50,3,35
207,26,238,16,27,50,3,35
208,26,239,13,25,50,3,35
209,26,240,14,25,50,4,37
210,27,241,12,27,45,5,34
211,27,242,14,27,45,5,34
212,27,243,14,27,45,5,34
213,27,244,14,27,45,5,34
214,27,245,16,27,45,5,34
215,27,246,16,27,45,5,34
216,27,247,16,27,45,5,34
217,27,248,12,27,45,5,34
218,27,249,15,27,44,5,36
219,27,250,15,27,44,5,36
220,28,251,19,27,48,3,32
221,28,252,20,26,49,3,34
222,28,253,20,26,49,3,34
223,28,254,19,27,48,3,32
224,28,255,18,27,48,3,32
225,28,256,19,27,48,3,32
226,28,257,19,27,48,3,32
227,28,258,19,27,48,3,32
228,28,259,19,27,48,3,32
229,28,260,19,27,48,3,32
230,29,261,14,25,50,4,35
231,29,262,13,25,50,4,35
232,29,263,14,25,50,4,35
233,29,264,11,25,50,4,35
234,29,265,14,25,50,4,35
235,29,266,15,26,50,3,35
236,29,267,15,26,50,3,35
237,29,268,13,26,50,3,35
238,29,269,13,25,50,4,35
239,29,270,13,26,50,3,35
240,30,271,17,24,46,3,28
241,30,272,17,24,46,3,28
242,30,273,17,24,46,3,28
243,30,274,17,24,46,3,28
244,30,275,17,24,46,3,28
245,30,276,17,24,46,3,28
246,30,277,17,24,46,3,28
247,30,278,17,24,46,3,28
248,30,279,16,24,46,3,28
249,30,280,16,29,44,5,31
250,31,281,19,27,44,6,30
251,31,282,17,26,44,6,29
252,31,283,17,27,43,6,31
253,31,284,17,27,43,6,31
254,31,285,17,27,43,6,31
255,31,286,17,27,43,6,31
256,31,287,15,27,43,6,31
257,31,288,15,27,43,6,31
258,31,289,15,27,43,6,31
259,31,290,20,27,44,6,30
260,32,291,20,29,42,4,31
261,32,292,19,29,42,4,31
262,32,293,19,26,42,4,32
263,32,294,19,29,42,4,31
264,32,295,19,29,42,4,31
265,32,296,19,29,42,4,31
266,32,297,19,29,42,4,31
267,32,298,20,26,42,4,32
268,32,299,20,26,42,4,32
269,32,300,19,26,42,4,32
270,33,301,17,28,42,6,30
271,33,302,17,28,42,6,30
272,33,303,18,28,42,6,30
273,33,304,19,28,42,6,30
274,33,305,17,28,42,6,30
275,33,306,17,28,42,6,30
276,33,307,20,28,42,6,30
277,33,308,18,28,42,6,30
278,33,309,20,28,42,6,30
279,33,310,17,28,42,6,30
280,34,311,13,37,30,3,31
281,34,312,13,35,33,3,31
282,34,313,13,35,33,3,31
283,34,314,13,35,33,3,31
284,34,315,11,35,33,3,31
285,34,316,13,35,33,3,31
286,34,317,11,35,33,3,31
287,34,318,11,35,33,3,31
288,34,319,13,37,30,3,31
289,34,320,13,37,30,3,31
290,35,321,12,31,34,4,29
291,35,322,12,31,34,4,29
292,35,323,12,31,34,4,29
293,35,324,14,31,34,4,29
294,35,325,15,31,34,4,29
295,35,326,15,31,34,4,29
296,35,327,18,31,34,4,29
297,35,328,12,31,34,4,29
298,35,329,18,31,34,4,29
299,35,330,15,31,34,4,29
300,36,331,18,31,41,5,34
301,36,332,17,31,41,5,34
302,36,333,17,31,41,5,34
303,36,334,17,27,47,4,35
304,36,335,17,27,47,4,35
305,36,336,17,27,47,4,35
306,36,337,15,27,47,4,35
307,36,338,15,27,47,4,35
308,36,339,17,27,47,4,35
309,36,340,17,27,47,4,35
310,37,341,16,24,46,4,32
311,37,342,16,24,46,4,32
312,37,343,16,24,46,4,32
313,37,344,18,24,46,4,32
314,37,345,18,24,46,4,32
315,37,346,18,24,46,4,32
316,37,347,18,24,46,4,32
317,37,348,18,24,46,4,32
318,37,349,18,24,46,4,32
319,37,350,18,24,46,4,32
320,38,351,20,26,42,4,27
321,38,352,18,26,42,4,27
322,38,353,18,25,42,3,29
323,38,354,17,25,44,4,28
324,38,355,17,25,44,4,28
325,38,356,17,25,44,4,28
326,38,357,17,25,44,4,28
327,38,358,15,25,42,3,29
328,38,359,17,25,42,3,29
329,38,360,18,25,42,3,29
330,39,361,15,32,39,2,31
331,39,362,15,32,39,2,31
332,39,363,15,32,39,2,31
333,39,364,15,31,39,2,33
334,39,365,15,32,39,2,31
335,39,366,15,32,39,2,31
336,39,367,15,32,39,2,31
337,39,368,15,32,39,2,31
338,39,369,15,32,39,2,31
339,39,370,15,32,39,2,31
340,40,371,17,34,33,2,29
341,40,372,16,34,33,2,29
342,40,373,17,34,35,2,29
343,40,374,17,34,35,2,29
344,40,375,16,34,35,2,29
345,40,376,16,34,35,2,29
346,40,377,16,35,36,2,28
347,40,378,16,34,35,2,29
348,40,379,14,34,35,2,29
349,40,380,16,34,33,2,29
350,42,381,17,30,43,4,28
351,42,382,16,27,47,7,34
352,42,383,16,27,47,7,34
353,42,384,14,27,47,6,32
354,42,385,16,27,47,7,34
355,42,386,17,27,47,7,34
356,42,387,17,27,47,7,34
357,42,388,17,27,47,7,34
358,42,389,17,27,47,7,34
359,42,390,17,27,47,7,34
360,43,391,17,26,46,3,30
361,43,392,17,26,46,3,30
362,43,393,17,26,46,3,30
363,43,394,18,26,46,3,30
364,43,395,15,26,46,3,30
365,43,396,15,26,46,3,30
366,43,397,15,26,46,3,30
367,43,398,15,26,46,3,30
368,43,399,16,27,44,3,27
369,43,400,16,27,44,3,27
370,44,401,16,26,47,4,30
371,44,402,16,26,47,4,30
372,44,403,16,26,47,4,30
373,44,404,17,26,47,4,30
374,44,405,17,26,47,4,30
375,44,406,17,26,47,4,30
376,44,407,17,26,47,4,30
377,44,408,15,25,47,4,28
378,44,409,17,26,47,4,30
379,44,410,17,26,47,4,30
380,45,411,14,26,47,6,38
381,45,412,16,26,47,6,38
382,45,413,12,26,47,6,38
383,45,414,15,27,46,6,38
384,45,415,15,27,46,6,38
385,45,416,15,26,47,6,38
386,45,417,14,27,46,6,38
387,45,418,14,27,46,6,38
388,45,419,14,27,46,6,38
389,45,420,14,27,46,6,38
390,46,421,20,26,47,7,32
391,46,422,20,26,47,7,32
392,46,423,20,26,47,7,32
393,46,424,18,26,49,7,31
394,46,425,18,26,49,7,31
395,46,426,17,26,49,7,31
396,46,427,17,26,49,7,31
397,46,428,18,26,49,7,31
398,46,429,18,26,49,7,31
399,46,430,17,26,47,7,32
400,47,431,17,25,45,4,30
401,47,432,18,25,45,4,30
402,47,433,18,25,45,4,30
403,47,434,17,25,45,4,30
404,47,435,18,25,45,4,30
405,47,436,17,25,45,4,30
406,47,437,18,25,45,4,30
407,47,438,17,25,45,4,30
408,47,439,17,25,45,4,30
409,47,440,19,25,45,4,30
410,48,441,18,27,44,4,32
411,48,442,18,27,44,4,32
412,48,443,18,28,42,4,31
413,48,444,17,28,42,4,31
414,48,445,18,28,42,4,31
415,48,446,18,28,42,4,31
416,48,447,20,28,42,4,31
417,48,448,18,28,42,4,31
418,48,449,19,28,42,4,31
419,48,450,18,27,44,4,31
420,50,451,15,31,43,8,35
421,50,452,16,31,43,8,35
422,50,453,16,31,43,8,35
423,50,454,16,31,43,8,35
424,50,455,14,31,43,8,35
425,50,456,15,31,43,8,35
426,50,457,15,31,43,8,35
427,50,458,14,31,43,8,35
428,50,459,16,31,43,8,35
429,50,460,14,31,43,8,35
430,51,461,20,28,43,7,30
431,51,462,19,28,43,7,30
432,51,463,21,27,44,6,29
433,51,464,21,27,44,6,29
434,51,465,21,27,44,6,29
435,51,466,21,27,44,6,29
436,51,467,20,28,43,7,30
437,51,468,20,28,43,7,30
438,51,469,18,28,43,7,30
439,51,470,17,28,43,7,30
440,52,471,16,27,42,4,33
441,52,472,16,27,42,4,33
442,52,473,17,27,42,4,33
443,52,474,17,27,42,4,33
444,52,475,17,27,42,4,33
445,52,476,17,27,42,4,33
446,52,477,15,27,42,4,33
447,52,478,15,27,42,4,33
448,52,479,16,27,43,4,30
449,52,480,16,27,43,4,30
450,53,481,16,28,42,3,28
451,53,482,16,28,42,3,28
452,53,483,16,28,42,3,28
453,53,484,17,28,42,3,28
454,53,485,16,28,42,3,28
455,53,486,21,27,41,6,28
456,53,487,21,27,41,6,28
457,53,488,18,28,42,3,28
458,53,489,18,28,42,3,28
459,53,490,18,28,42,3,28
460,54,491,17,27,44,3,29
461,54,492,18,27,44,3,29
462,54,493,18,27,44,3,29
463,54,494,18,27,44,3,29
464,54,495,18,27,44,3,29
465,54,496,18,27,44,3,29
466,54,497,16,27,44,3,29
467,54,498,21,29,41,6,31
468,54,499,19,29,41,6,31
469,54,500,19,29,41,6,31
470,55,501,18,29,40,7,30
471,55,502,19,27,43,6,30
472,55,503,19,27,43,6,30
473,55,504,19,27,43,6,30
474,55,505,19,27,43,6,30
475,55,506,19,27,43,6,30
476,55,507,19,27,43,6,30
477,55,508,19,27,43,6,30
478,55,509,19,27,43,6,30
479,55,510,19,27,43,6,30
480,57,511,12,28,44,4,35
481,57,512,12,28,44,4,35
482,57,513,12,28,44,4,35
483,57,514,13,28,44,4,35
484,57,515,15,28,44,4,35
485,57,516,13,28,44,4,35
486,57,517,12,28,44,4,35
487,57,518,12,28,44,4,35
488,57,519,13,28,44,4,35
489,57,520,13,28,44,4,35
490,58,521,12,28,43,7,35
491,58,522,12,28,43,7,35
492,58,523,10,29,42,6,36
493,58,524,11,29,42,7,39
494,58,525,14,28,45,4,36
495,58,526,13,28,45,4,36
496,58,527,12,27,44,6,37
497,58,528,12,28,43,7,36
498,58,529,11,28,43,7,36
499,58,530,12,28,43,7,36
500,59,531,19,27,46,3,30
501,59,532,19,27,46,3,30
502,59,533,17,27,46,3,30
503,59,534,17,27,46,3,30
504,59,535,18,27,46,3,30
505,59,536,19,27,46,3,30
506,59,537,18,26,45,3,31
507,59,538,19,26,47,4,31
508,59,539,22,26,47,4,31
509,59,540,22,26,47,4,31
510,60,541,17,28,43,7,32
511,60,542,15,26,45,6,28
512,60,543,17,28,43,7,32
513,60,544,14,28,43,7,32
514,60,545,15,26,45,6,28
515,60,546,14,28,43,7,32
516,60,547,14,28,43,7,32
517,60,548,14,28,43,7,32
518,60,549,15,26,45,6,28
519,60,550,17,28,43,7,32
520,61,551,20,30,38,3,27
521,61,552,19,30,38,3,27
522,61,553,18,30,38,3,27
523,61,554,18,30,38,3,27
524,61,555,17,30,38,3,27
525,61,556,18,30,38,3,27
526,61,557,17,32,36,3,29
527,61,558,16,32,36,3,29
528,61,559,16,32,37,4,29
529,61,560,17,30,38,3,27
530,62,561,14,31,39,5,30
531,62,562,13,27,44,5,29
532,62,563,8,27,44,5,29
533,62,564,11,31,39,5,30
534,62,565,8,31,39,5,30
535,62,566,11,31,39,5,30
536,62,567,11,31,39,5,30
537,62,568,11,31,39,5,30
538,62,569,14,31,39,5,30
539,62,570,14,31,39,5,30
540,63,571,14,28,48,2,33
541,63,572,14,28,48,2,33
542,63,573,14,28,48,2,33
543,63,574,14,,,,
544,63,575,14,28,48,2,33
545,63,576,14,,,,
546,63,577,13,,,,
547,63,578,13,,,,
548,63,579,14,28,48,2,33
549,63,580,14,28,48,2,33
550,64,581,16,29,43,4,38
551,64,582,15,29,42,4,37
552,64,583,12,29,43,4,37
553,64,584,14,29,43,4,38
554,64,585,16,29,43,4,38
555,64,586,12,29,43,4,37
556,64,587,12,29,43,4,37
557,64,588,12,29,43,4,37
558,64,589,11,30,43,4,38
559,64,590,14,30,43,4,38
560,65,591,15,29,45,6,35
561,65,592,16,32,41,6,40
562,65,593,14,29,45,6,35
563,65,594,18,28,45,3,35
564,65,595,16,32,41,6,40
565,65,596,14,29,45,6,35
566,65,597,17,29,45,6,35
567,65,598,15,29,45,6,35
568,65,599,14,28,45,6,32
569,65,600,18,28,45,3,35
570,66,601,18,26,44,3,33
571,66,602,21,26,45,6,32
572,66,603,19,27,44,3,33
573,66,604,16,26,44,3,33
574,66,605,18,27,44,3,33
575,66,606,16,26,44,3,33
576,66,607,18,26,44,3,33
577,66,608,20,26,44,3,33
578,66,609,21,26,45,6,32
579,66,610,18,26,44,3,33
580,67,611,17,26,44,3,36
581,67,612,18,28,44,4,36
582,67,613,16,28,44,4,36
583,67,614,17,28,44,4,36
584,67,615,17,28,44,4,36
585,67,616,17,28,44,4,36
586,67,617,17,28,44,4,36
587,67,618,16,28,44,4,36
588,67,619,16,28,44,4,36
589,67,620,14,28,44,4,36
590,68,621,16,23,46,3,28
591,68,622,18,25,43,3,29
592,68,623,16,23,46,3,28
593,68,624,18,25,43,3,29
594,68,625,19,23,46,3,28
595,68,626,19,23,46,3,28
596,68,627,22,23,47,4,29
597,68,628,19,23,47,4,29
598,68,629,19,25,43,3,29
599,68,630,16,23,46,3,28
600,69,631,16,26,42,7,28
601,69,632,16,27,42,6,28
602,69,633,17,28,42,6,29
603,69,634,17,28,42,6,29
604,69,635,16,27,42,6,28
605,69,636,15,28,41,6,27
606,69,637,17,28,42,6,29
607,69,638,18,27,42,6,28
608,69,639,17,28,42,6,29
609,69,640,17,26,42,7,28
610,70,641,19,26,43,7,30
611,70,642,15,26,43,7,30
612,70,643,15,26,43,7,30
613,70,644,19,26,43,7,30
614,70,645,19,27,42,7,31
615,70,646,19,26,43,7,30
616,70,647,19,27,41,6,31
617,70,648,17,27,41,6,31
618,70,649,19,27,41,6,31
619,70,650,19,27,42,7,31
620,71,651,17,24,48,4,30
621,71,652,16,24,48,4,30
622,71,653,17,24,48,4,30
623,71,654,19,26,47,7,30
624,71,655,20,24,48,4,30
625,71,656,15,26,47,7,30
626,71,657,15,24,48,4,30
627,71,658,15,24,48,4,30
628,71,659,16,24,48,4,30
629,71,660,17,24,48,4,30
630,72,661,18,26,46,5,30
631,72,662,17,27,45,5,30
632,72,663,17,28,42,7,30
633,72,664,19,28,42,7,30
634,72,665,19,26,46,5,30
635,72,666,19,28,42,7,30
636,72,667,19,26,46,5,30
637,72,668,18,26,46,5,30
638,72,669,17,26,46,5,30
639,72,670,19,28,42,7,30
640,73,671,16,25,46,6,28
641,73,672,16,26,46,3,29
642,73,673,16,26,46,3,29
643,73,674,16,26,46,3,29
644,73,675,16,25,46,6,28
645,73,676,16,25,46,6,28
646,73,677,16,26,46,3,29
647,73,678,16,25,46,6,28
648,73,679,16,26,46,3,29
649,73,680,16,26,46,3,29
650,74,681,18,27,43,4,31
651,74,682,18,27,43,4,31
652,74,683,19,27,43,4,31
653,74,684,18,27,43,4,31
654,74,685,18,27,43,4,31
655,74,686,18,27,43,4,31
656,74,687,18,27,43,4,31
657,74,688,19,27,43,4,31
658,74,689,19,27,43,4,31
659,74,690,19,27,43,4,31
660,75,691,18,28,42,6,32
661,75,692,18,28,42,6,32
662,75,693,18,28,42,6,32
663,75,694,16,28,42,6,32
664,75,695,16,28,43,5,32
665,75,696,18,28,42,6,32
666,75,697,18,28,42,6,32
667,75,698,17,28,42,6,32
668,75,699,16,28,42,6,32
669,75,700,16,28,42,6,32
670,76,701,19,32,40,4,36
671,76,702,14,31,43,4,36
672,76,703,17,32,40,4,36
673,76,704,17,32,40,4,36
674,76,705,14,29,43,4,37
675,76,706,17,32,40,4,36
676,76,707,14,31,42,2,36
677,76,708,14,29,43,4,37
678,76,709,15,32,40,4,36
679,76,710,14,29,43,4,37
680,77,711,18,29,45,7,28
681,77,712,12,29,41,3,30
682,77,713,18,29,45,7,28
683,77,714,14,26,45,3,28
684,77,715,17,26,45,3,28
685,77,716,14,26,45,3,28
686,77,717,12,26,45,3,28
687,77,718,12,29,41,3,30
688,77,719,14,26,45,3,28
689,77,720,14,26,45,3,28
690,86,721,17,30,40,3,29
691,86,722,18,28,41,3,29
692,86,723,18,28,41,3,29
693,86,724,18,28,41,3,29
694,86,725,17,28,41,3,29
695,86,726,17,28,41,3,29
696,86,727,18,28,41,3,29
697,86,728,16,28,41,3,29
698,86,729,16,28,41,3,29
699,86,730,17,28,41,3,29
700,87,731,17,20,53,3,32
701,87,732,17,20,53,3,32
702,87,733,15,20,53,3,32
703,87,734,17,20,53,3,32
704,87,735,17,20,53,3,32
705,87,736,17,20,53,3,32
706,87,737,17,20,53,3,32
707,87,738,17,20,53,3,32
708,87,739,17,20,53,3,32
709,87,740,17,20,53,3,32
710,88,741,15,21,51,2,34
711,88,742,13,21,48,3,34
712,88,743,13,21,48,3,34
713,88,744,12,21,51,2,34
714,88,745,12,21,51,2,34
715,88,746,12,21,51,2,34
716,88,747,12,21,51,2,34
717,88,748,13,21,48,3,34
718,88,749,12,21,51,2,34
719,88,750,12,21,51,2,34
720,89,751,15,23,52,3,31
721,89,752,16,23,52,3,31
722,89,753,15,23,52,3,31
723,89,754,16,23,52,3,31
724,89,755,16,23,52,3,31
725,89,756,15,22,51,2,32
726,89,757,15,22,51,2,32
727,89,758,15,22,51,2,32
728,89,759,15,22,51,2,32
729,89,760,15,22,51,2,32
730,90,761,14,27,46,7,36
731,90,762,15,27,46,7,36
732,90,763,15,26,47,7,37
733,90,764,14,30,46,7,35
734,90,765,14,30,46,7,35
735,90,766,16,25,46,5,37
736,90,767,15,26,47,7,37
737,90,768,14,25,46,5,37
738,90,769,14,25,46,5,37
739,90,770,14,30,46,7,35
740,91,771,16,27,49,3,35
741,91,772,16,27,49,3,35
742,91,773,16,27,49,3,35
743,91,774,16,27,49,3,35
744,91,775,16,27,49,3,35
745,91,776,16,27,49,3,35
746,91,777,16,27,49,3,35
747,91,778,13,27,49,3,35
748,91,779,12,27,49,3,35
749,91,780,16,27,49,3,35
750,92,781,15,28,46,4,38
751,92,782,14,29,45,4,33
752,92,783,15,28,46,4,38
753,92,784,14,29,45,4,33
754,92,785,14,29,45,4,33
755,92,786,14,29,45,4,33
756,92,787,15,28,46,4,38
757,92,788,14,29,45,4,33
758,92,789,13,28,46,4,38
759,92,790,14,29,45,4,33
760,93,791,17,25,48,5,35
761,93,792,13,26,49,7,33
762,93,793,14,26,49,7,33
763,93,794,17,25,48,5,35
764,93,795,17,25,48,5,35
765,93,796,14,26,49,7,33
766,93,797,16,26,49,7,33
767,93,798,16,26,49,7,33
768,93,799,14,26,49,7,33
769,93,800,16,25,48,5,35
770,94,801,13,28,45,3,35
771,94,802,13,28,45,3,35
772,94,803,13,28,45,3,35
773,94,804,13,28,45,3,35
774,94,805,11,28,45,3,35
775,94,806,13,28,45,3,35
776,94,807,13,28,45,3,35
777,94,808,15,28,45,3,35
778,94,809,13,28,45,3,35
779,94,810,13,28,45,3,35
780,95,811,14,27,47,5,36
781,95,812,14,27,47,5,36
782,95,813,14,27,48,6,37
783,95,814,14,25,48,4,36
784,95,815,14,27,47,5,36
785,95,816,14,27,47,5,36
786,95,817,14,27,49,4,36
787,95,818,14,27,49,4,36
788,95,819,14,27,47,5,36
789,95,820,14,27,47,5,36
790,96,821,19,28,47,6,35
791,96,822,21,28,47,6,35
792,96,823,21,27,47,6,34
793,96,824,18,27,47,6,34
794,96,825,21,27,47,6,34
795,96,826,19,28,47,6,35
796,96,827,19,28,47,6,35
797,96,828,19,28,47,6,35
798,96,829,19,28,47,6,35
799,96,830,19,28,47,6,35
800,97,831,18,30,44,6,34
801,97,832,18,30,44,6,34
802,97,833,18,30,44,6,34
803,97,834,18,30,44,6,34
804,97,835,18,30,44,6,34
805,97,836,17,30,44,6,34
806,97,837,17,30,44,6,34
807,97,838,17,30,44,6,34
808,97,839,20,30,43,6,34
809,97,840,20,30,43,6,34
810,98,841,18,26,46,4,35
811,98,842,18,25,47,4,37
812,98,843,16,25,47,4,37
813,98,844,18,26,47,4,35
814,98,845,18,25,47,4,37
815,98,846,18,25,47,4,37
816,98,847,18,25,47,4,37
817,98,848,18,25,47,4,37
818,98,849,18,25,47,4,37
819,98,850,18,25,47,4,37
820,99,851,18,28,45,5,31
821,99,852,18,28,45,5,31
822,99,853,18,28,45,5,31
823,99,854,18,28,45,5,31
824,99,855,18,28,45,5,31
825,99,856,18,28,45,5,31
826,99,857,18,28,44,3,32
827,99,858,19,28,45,5,31
828,99,859,18,28,45,5,31
829,99,860,18,28,45,5,31
830,100,861,15,27,45,4,37
831,100,862,19,28,45,5,36
832,100,863,19,28,45,5,36
833,100,864,19,28,45,5,36
834,100,865,15,27,45,4,37
835,100,866,15,27,45,4,37
836,100,867,19,28,45,5,36
837,100,868,19,28,45,5,36
838,100,869,15,27,45,4,37
839,100,870,15,27,45,4,37
840,101,871,18,30,46,5,36
841,101,872,18,30,46,5,36
842,101,873,17,27,47,5,37
843,101,874,18,30,46,5,36
844,101,875,18,30,46,5,36
845,101,876,18,30,46,5,36
846,101,877,18,30,46,5,36
847,101,878,18,28,46,5,34
848,101,879,17,30,46,5,36
849,101,880,18,30,46,5,36
850,102,881,14,27,46,5,37
851,102,882,14,27,46,5,37
852,102,883,14,27,46,5,37
853,102,884,14,27,46,5,37
854,102,885,14,27,46,5,37
855,102,886,14,27,46,5,37
856,102,887,14,27,46,5,37
857,102,888,15,28,46,7,38
858,102,889,16,27,46,5,37
859,102,890,14,27,46,5,37
860,103,891,15,24,48,3,30
861,103,892,17,24,48,3,30
862,103,893,15,24,48,3,30
863,103,894,15,24,48,3,30
864,103,895,15,24,48,3,30
865,103,896,14,24,48,3,30
866,103,897,14,24,48,3,30
867,103,898,16,24,48,3,30
868,103,899,15,24,48,3,30
869,103,900,15,24,48,3,30
