farmer_id,age,edu,hhsize,livestock,landhold,assetheld_1,assetheld_5,assetheld_9,knowawd,renter,area1_acre,anymarginal,ncrop1,rice_rice_sys,boro_rvirrig_1,boro_revperacre_1,boro_tcost_1,boro_watercostpacre_1,aman_peracre_1
22,60,2,8,4,2.16666666666667,0,0,0,0,0,0.5,1,2,1,19,40000.0012207031,13260,2760,34000.0010375977
23,45,5,3,6,1.5,0,0,0,0,0,0.666666666666667,1,2,1,20,29732.8014278962,16485,3360,33600
24,35,5,7,5,7,0,0,0,0,0,0.333333333333333,1,2,1,18,31714.9881897559,18234,3534,28560
25,55,3,5,3,0.333333333333333,0,0,0,0,0,0.333333333333333,1,2,1,18,38400,15984,3834,28800
26,40,6,5,2,0.416666666666667,0,0,0,0,0,0.416666666666667,1,2,1,15,30129.2387802681,11382,3462,27236
27,57,0,4,0,0.833333333333333,0,0,0,0,0,0.283333341280619,1,2,1,17,29505.8809204101,16305.8819628917,3599.99996634091,36000
28,35,5,4,0,0.5,0,0,0,0,0,0.333333333333333,1,2,1,17,40800,12921,3771,32640
29,64,0,4,2,0.833333333333333,0,0,0,0,1,0.333333333333333,1,2,1,15,40320,9315,3315,36000
30,35,15,5,15,5,0,0,0,1,0,0.5,1,2,1,20,26429.1558166043,17880,3880,26400.0009155274
31,37,2,4,0,1.33333333333333,0,0,0,0,0,0.666666666666667,0,2,1,20,43200,16710,6000,30360
32,52,2,4,2,2,0,0,0,0,0,0.333333333333333,0,2,1,19,41040,20100,5700,23760
33,52,9,5,5,0.666666666666667,0,0,0,0,0,0.666666666666667,0,2,1,21,39643.7352371949,15300,6000,34440
34,50,9,3,5,1.66666666666667,0,0,0,0,0,0.666666666666667,0,2,1,18,41040,21750,5100,34500
35,33,9,5,1,2,0,0,0,0,0,1,0,2,1,20,34959.998840332,15800,6000,20240.0007019043
36,55,4,4,0,3,0,0,0,0,0,0.333333333333333,0,2,1,16,43320,22800,5550,27000
37,44,9,6,1,0.333333333333333,0,0,0,1,0,0.333333333333333,0,2,1,17,35679.3617134754,21600,5700,42055.5882352941
38,46,0,6,2,1,0,0,0,1,0,1,1,2,1,20,43200,18140,40,36399.999206543
39,39,0,6,2,0.666666666666667,0,0,0,0,0,0.666666666666667,0,2,1,19,42120,22875,6000,26220
40,32,0,5,1,1,0,0,0,0,0,0.666666666666667,0,2,1,16,42120,22575,5700,27000
41,45,9,6,5,3,0,0,0,1,0,1.33333333333333,1,2,1,19,40800,20738.25,413.25,26400
42,55,10,6,2,1.33333333333333,0,0,0,0,0,0.666666666666667,1,2,1,17,33600,23172,3312,22680
43,60,0,6,3,1,0,0,0,0,0,1,1,2,1,20,30799.9991455078,21230,3560,20026.4705882353
44,35,0,5,10,2,0,0,0,0,0,1,1,2,1,14,37399.9989624023,22068,3608,24800.0006103515
45,65,0,6,3,0.333333333333333,0,0,0,0,0,0.333333333333333,1,2,1,15,39643.7352371949,17490,3990,20026.4705882353
46,38,0,4,0,4,0,0,0,0,0,2,1,2,1,18,42000,18152,3252,25080
47,68,0,4,0,1,0,0,0,0,0,1,1,2,1,18,33600,21168,3018,23520.0006408691
48,25,0,6,2,0.666666666666667,0,0,0,0,0,0.666666666666667,1,2,1,18,48600,22773,3648,38400
49,42,3,7,0,1,0,0,0,0,0,1,1,2,1,20,33600,16190,3200,31999.9987792969
50,60,5,10,2,2,0,0,0,0,0,0.666666666666667,1,2,1,18,34440,24150,3525,26400
51,37,4,5,4,1.25,0,0,1,0,0,0.75,1,2,1,1,43200,13506.6666666667,40,48000
52,60,5,3,2,2,0,0,0,0,0,1,1,2,1,30,54000,20400,6900,43000.0013122558
53,42,5,8,0,0.25,0,0,0,0,0,0.25,1,2,1,25,39643.7352371949,13200,7000,48000
54,22,5,3,0,0.5,0,0,0,0,1,0.349999984105427,1,2,1,28,45257.1448974609,21542.8581211844,8114.28608278033,39314.2892761231
55,32,12,2,0,1,1,1,0,0,0,0.5,1,2,1,25,38400,22300,7500,48000
56,25,5,3,6,1,0,0,0,0,0,1,1,3,0,28,38400,20740,6840,43200
57,40,0,6,3,1,0,0,0,0,0,0.400000015894573,1,2,1,25,38399.9970703125,22374.9991108973,8124.99967714149,49999.9969482422
58,35,4,6,8,1.02999997138977,0,0,0,1,0,0.200000007947286,1,2,1,26,47999.9970703125,15899.9993681908,9899.99960660936,26701.9597657148
59,30,5,4,1,0.25,0,0,0,0,0,0.25,1,2,1,24,39643.7352371949,15280,8880,21361.5681181515
60,42,5,6,0,5,1,0,0,0,0,1,1,2,1,25,43200,21200,6750,44000.0015258789
61,60,0,7,0,1.5,1,0,0,0,1,1,0,1,0,18,43200,19650,5500,0
62,41,5,5,1,0.599999984105427,1,0,0,0,0,0.599999984105427,0,2,1,16,39643.7352371949,19166.66717441,6000.00015894574,35000.0010681152
63,37,1,4,0,2,0,0,0,0,1,0.949999968210857,0,2,1,16,46989.4757080078,19736.8427657024,5473.68439368815,59200.0045166016
64,57,0,7,3,1.64999993642171,1,1,0,0,0,0.5,0,2,1,18,46079.9989013672,19650,5500,61600.0021362305
65,70,0,5,3,2,0,0,0,0,1,1,0,2,1,18,41040,19500,5500,59199.9977416992
66,55,0,3,2,1,0,0,0,0,0,1,0,2,1,16,46079.9989013672,19650,5500,28799.9989013672
67,35,12,4,3,8,0,0,0,0,0,5,0,1,0,16,46079.9989013672,19800,5500,0
68,55,0,3,0,1,1,0,0,1,0,1,0,2,1,18,43200,19650,5500,59199.9977416992
69,55,15,5,0,11,1,1,1,1,0,1,0,2,1,18,46800.0010986328,18000,5500,35000.0010681152
70,45,5,6,1,3,0,0,0,0,0,0.5,0,2,1,16,43200,19700,5500,42000
71,49,2,6,6,2,1,0,0,1,0,1.09999998410543,1,2,1,24,40727.2734375,15047.2729447,2865.45458685925,32727.2728271484
72,57,2,4,2,1.75,0,0,0,1,0,0.349999984105427,1,2,1,24,51200.0039062502,21737.1438442932,8594.2861045786,32914.2886962891
73,55,2,5,2,0.75,0,0,0,1,0,0.25,1,2,1,24,61440,19380,5680,39999.9984741212
74,30,10,10,4,2.5,1,0,1,1,0,0.650000015894573,1,2,1,24,43200,17107.6918893547,3261.53838178344,39999.9984741212
75,20,5,4,2,3,0,0,0,0,0,0.0199999995529652,1,2,1,24,384000,191000.004269183,56000.0012516976,480000.014648438
76,24,12,5,0,3,1,0,0,0,0,0.349999984105427,1,2,1,24,43200.0032958984,17485.7150797942,4342.85734007961,40000.0030517578
77,34,10,5,5,1.5,1,0,0,0,0,0.25,1,2,1,24,46080,18480,4880,48000
78,52,0,4,1,1,1,0,1,0,0,0.5,1,2,1,24,51199.9980468749,15416,2016,26399.99899292
79,25,10,5,3,2,0,0,0,0,0,0.299999992052714,1,2,1,24,43200,17983.333809729,4733.33345872385,46666.667175293
80,45,2,4,1,4,0,0,0,0,0,0.75,1,2,1,24,48000,17360,2960,51199.9980468751
81,66,16,2,0,15,1,1,0,1,0,1.66666666666667,1,2,1,16,40608,15200.4,230.4,28800
82,66,0,6,5,1,0,1,0,0,0,1,1,2,1,18,34720.0008544922,15032,3432,23919.9992980957
83,50,0,6,8,2.33333333333333,0,0,0,0,0,0.333333333333333,1,2,1,15,36720,23100,3990,32760
84,60,0,4,0,0.333333333333333,1,0,0,0,0,0.333333333333333,1,1,0,18,39643.7352371949,16050,4350,0
85,50,0,5,5,3,1,0,0,0,0,0.333333333333333,1,2,1,20,34560,23790,4470,24960
86,66,16,4,0,1,1,1,0,1,0,1,1,2,1,19,48000,19456,2706,16688.7259994955
87,33,0,4,4,0.333333333333333,0,0,0,0,0,0.333333333333333,1,2,1,15,39643.7352371949,13185,3645,18023.8235294118
88,66,16,3,0,1,1,1,0,1,0,1,1,2,1,20,34200,19020,2920,33599.9992675782
89,65,16,4,3,2,1,1,0,1,0,1,1,2,1,19,35359.9989624023,23025,3325,34320
90,55,0,7,0,0.5,0,0,0,0,0,0.5,1,2,1,20,39643.7352371949,14480,4080,18691.3730583191
91,45,8,5,3,2,0,0,0,1,0,1,1,2,1,16,41759.9989013672,19230,400,24640.0006713867
92,28,10,2,0,3,0,0,0,0,0,0.333333333333333,1,2,1,19,40800,29166,5196,21600
93,60,0,5,1,1,0,0,0,0,0,1,1,2,1,18,43200,24754,3804,22029.1176470588
94,26,8,5,3,2,1,0,0,0,0,1,1,2,1,19,39599.9989013672,23032,4132,38400
95,55,10,9,0,4,1,0,0,0,0,1,1,2,1,16,32000.0009765625,22384,3984,26879.9993591309
96,36,0,5,2,1,1,0,0,0,0,1,1,2,1,20,33600,22020,3880,23199.9993896485
97,50,0,2,2,0.333333333333333,0,0,0,0,0,0.333333333333333,1,2,1,18,39643.7352371949,20190,4350,20026.4705882353
98,38,7,7,2,2,0,0,0,0,0,0.666666666666667,1,2,1,15,43200,26055,3930,24000
99,30,0,7,3,1,1,0,0,0,0,1,1,1,0,18,35679.3617134754,23870,3750,0
100,30,0,5,3,2,1,0,0,0,0,0.666666666666667,1,2,1,16,40800,22152,3852,24000
101,36,8,5,3,2,1,0,0,1,0,1,1,2,1,20,33600,21980,580,29040
102,68,16,5,0,3,0,0,0,1,0,0.666666666666667,1,2,1,14,39960,21087,3162,21120
103,30,9,3,0,2,0,0,0,0,0,0.333333333333333,1,2,1,17,36720,23103,4173,23760
104,45,9,6,3,2,0,0,0,0,0,1,1,2,1,18,36000.0010986328,23668,3768,23520.0006408691
105,26,0,4,0,2,0,0,0,0,0,1,1,2,1,18,39599.9989013672,23186,3636,23520.0006408691
106,57,5,5,5,1.33333333333333,1,0,0,0,0,0.333333333333333,1,2,1,16,31200,23328,3408,23400
107,60,9,4,0,2,0,0,0,0,0,0.333333333333333,1,2,1,18,36720,27300,4650,20160
108,45,8,7,0,3,0,0,0,0,0,0.333333333333333,1,2,1,15,48000,26880,4380,21600
109,46,5,5,6,2.66666666666667,0,0,0,0,0,1.66666666666667,1,2,1,18,32640,21379.2,2959.2,22464
110,55,3,11,4,2,0,0,0,0,0,0.666666666666667,1,2,1,14,34680,23196,3441,29040
111,62,0,3,2,0.900000015894573,0,0,0,0,0,0.200000007947286,0,2,1,18,40799.996887207,20099.9992012978,5999.99976158143,43999.9973144532
112,50,2,5,0,0.349999984105427,1,0,0,1,0,0.349999984105427,0,2,1,18,41142.8583984375,18671.4294193554,6285.71457116786,29142.858581543
113,45,5,6,3,0.699999968210857,0,0,0,0,0,0.200000007947286,0,2,1,1,40799.996887207,19174.999238054,6999.999721845,27000
114,32,5,4,0,0.650000015894573,0,0,0,0,0,0.349999984105427,0,2,1,1,38857.1440429688,18242.8579713213,6571.42886985731,17142.8576660156
115,46,0,5,2,1.85000006357829,1,0,1,1,0,0.5,0,2,1,18,40800,21130,7000,28799.9989013672
116,22,10,3,2,1.25,1,0,0,0,0,0.599999984105427,0,2,1,18,41999.9996337891,20275.0005371041,6666.66684327304,27000
117,48,5,5,0,1,1,0,0,0,0,0.200000007947286,0,2,1,18,40799.996887207,20099.9992012978,5999.99976158143,29999.9981689453
118,42,5,5,4,1,1,0,0,1,0,0.200000007947286,0,2,1,18,43199.9967041016,21099.9991615614,6999.999721845,29999.9981689453
119,38,5,6,6,0.699999968210857,0,0,0,0,0,0.349999984105427,0,2,1,18,40800.003112793,16671.4293285293,6857.14316854676,29142.858581543
120,25,5,6,0,0.5,1,0,0,0,0,0.5,0,2,1,18,40800,21120,7000,30000.0009155274
121,26,5,3,2,1,0,0,0,0,0,0.25,0,2,1,8,39643.7352371949,12140,6000,32042.3529411765
122,47,0,7,7,1,0,0,0,0,0,0.25,0,2,1,8,39643.7352371949,10140,6000,28800
123,68,15,8,0,5,0,0,0,1,0,0.75,0,2,1,8,38399.9985351563,18766.6666666667,5333.33333333333,28800
124,65,0,4,0,5.30000019073487,0,0,0,0,0,0.450000007947287,0,2,1,8,41599.9995117188,18744.4441134056,5999.99989403618,29333.3340454101
125,63,4,7,7,22.3100001017253,0,0,0,0,0,6.25,0,2,1,8,43200,19248,6000,59519.9981689453
126,42,12,5,0,10,1,0,1,1,0,0.900000015894573,0,2,1,8,43200,20366.6663069784,6666.66654892909,28000.0003051758
127,60,15,11,8,8.85000038146973,0,0,0,0,0,2,0,2,1,8,43200,19125,6000,60000.0018310547
128,70,10,4,9,5,0,0,0,0,0,1.30000003178914,0,2,1,8,40430.7696533203,20099.999508491,6153.84600336501,29076.9213867188
129,50,10,3,0,7.5,0,0,0,0,0,2,0,2,1,8,43200,19125,6000,30000.0009155274
130,38,16,4,0,7.75,0,0,0,0,0,1,0,2,1,8,43200,19125,6000,30000.0009155274
131,38,10,4,1,1,1,1,1,1,0,0.400000015894573,0,2,1,16,47999.9963378906,18524.9992638826,4374.99982615311,35199.9990234375
132,46,2,6,2,0.5,1,0,0,0,0,0.200000007947286,0,2,1,16,39643.732212618,13149.999477466,6999.999721845,20026.4690603368
133,42,8,4,8,10,0,0,0,0,0,1.25,0,2,1,16,41472,19760,7000,28800
134,58,1,2,6,3.5,0,0,0,0,0,0.5,0,2,1,16,46399.9987792969,20120,7000,29439.9990234375
135,50,10,4,5,1,1,0,0,0,0,1,0,2,1,16,43999.9987792969,20120,7000,28800
136,28,17,6,5,3.5,1,1,0,1,0,1,0,2,1,16,48000,20120,7000,30000.0009155274
137,58,2,2,3,0.5,0,0,0,0,0,0.5,0,2,1,16,48000,20120,7000,30000.0009155274
138,45,2,4,6,0.5,1,0,0,0,0,0.5,0,2,1,16,48000,20070,7000,33377.4519989911
139,45,10,5,2,3,1,0,0,0,0,1.5,0,2,1,16,40799.9992675782,20100,7000,30000.0009155274
140,28,2,4,1,1.85000006357829,0,0,0,0,0,0.400000015894573,0,2,1,16,46799.9978027344,16087.4993607402,6999.99972184498,35999.997253418
5021,59,5,8,4,4,0,0,1,1,0,1.09999998410543,1,2,1,8,39272.7293701172,12921.8183685334,1421.8182023629,27272.727355957
5022,45,5,14,4,13,0,0,1,1,0,3,1,2,1,8,43200,14138,1521.33333333333,27000
5023,45,4,6,5,4,0,0,0,1,0,2,1,2,1,8,42480.0010986328,14182,1532,28200.0009155274
5024,60,0,4,3,7,1,0,0,0,0,2,1,2,1,8,41400.0010986328,14182,1532,28499.9990844726
5025,70,0,4,7,2,0,0,0,0,0,2,1,2,1,8,20160.0005493164,7082,782,13500
5026,40,0,6,3,3,0,0,0,0,0,2,1,2,1,8,41400.0010986328,14132,1532,27000
5027,42,5,7,3,5,0,0,1,0,0,2,1,2,1,8,43200,14182,1532,27599.9990844726
5028,30,9,8,8,3,0,0,0,0,0,2,1,2,1,8,43200,14132,1532,27000
5029,52,0,8,2,3,0,0,0,0,0,1,1,2,1,8,43200,14164,1564,27599.9990844726
5030,33,5,9,10,5,0,0,0,0,0,2,1,2,1,8,42480.0010986328,14132,1532,34560
161,68,0,2,10,1.25,0,0,0,0,0,1.25,1,2,1,12,42048.0010986328,14324.8,2124.8,36288
162,40,1,7,6,2,0,0,0,0,0,1,1,2,1,12,43200,14281,2156,32000.0009765625
163,33,1,4,2,1.25,0,0,0,0,0,0.5,1,2,1,12,43200,14432,2312,30000.0009155274
164,68,1,10,8,3,0,0,0,0,0,2,1,2,1,12,43200,13203,1078,30000.0009155274
165,62,1,7,5,1.64999993642171,0,0,0,0,0,0.849999984105427,1,2,1,12,42352.9409179688,14289.4120319107,2183.52945259561,29647.0596313477
166,52,0,7,5,2.85000006357829,0,0,0,0,0,0.450000007947287,1,2,1,12,43200,15591.1108357622,2346.66662522304,29333.3340454101
167,25,0,5,1,2,0,0,0,0,0,0.5,1,2,1,12,43200,14442,2312,30000.0009155274
168,62,5,5,6,1.15000001589457,0,0,0,0,0,0.149999996026357,1,2,1,12,39643.7352371949,5840.00015470717,3040.0000805325,31152.2879212323
169,59,3,6,2,1.25,0,0,0,0,0,0.549999992052713,1,2,1,12,41890.9086914063,18574.5457229404,6283.63645443247,28363.6367797851
170,38,2,8,2,1.5,0,0,0,0,0,0.5,0,2,1,12,43200,16120,2000,30000.0009155274
171,36,5,3,4,0.833333333333333,0,0,0,1,0,0.833333333333333,1,2,1,18,43200,19080,648,36000
172,27,10,3,3,1,0,0,0,0,0,0.333333333333333,1,2,1,18,40800,30132,4512,32400
173,48,10,6,1,4,1,0,0,0,0,0.666666666666667,1,2,1,19,38652.6418562651,26566.5,3826.5,25740
174,50,5,4,0,5,0,0,0,0,0,0.666666666666667,1,2,1,15,41820,25755,3435,31200
175,52,10,4,8,2.33333333333333,0,0,0,1,0,0.333333333333333,1,2,1,18,39643.7352371949,26562,4512,28800
176,60,12,4,4,0.333333333333333,0,0,0,0,0,0.333333333333333,1,2,1,15,39643.7352371949,19065,3825,36047.6470588235
177,32,10,5,4,2,0,0,0,0,0,0.5,1,2,1,18,40965.1940866271,25172,3972,28080
178,52,0,6,4,0.666666666666667,0,0,0,0,0,0.666666666666667,1,2,1,18,39643.7352371949,24126,3756,35046.3235294118
179,65,0,5,4,3.33333333333333,0,0,0,0,0,0.666666666666667,1,2,1,19,38652.6418562651,25638,4098,25920
180,40,0,5,10,0.5,0,0,0,0,0,0.5,1,2,1,15,39643.7352371949,27440,3540,33377.4519989911
181,40,1,7,4,2.19999996821086,0,0,0,0,0,2.19999996821086,1,2,1,12,42545.4543457032,11650.4547137991,2980.00004305984,30000.0009155274
182,27,2,4,0,0.5,0,0,0,0,0,0.5,1,2,1,12,43200,8412,2312,33377.4519989911
183,60,0,6,5,1.5,0,0,0,0,0,1.5,1,2,1,12,40799.9992675782,14204,2104,28800
184,37,0,4,2,0.299999992052714,0,0,0,0,0,0.299999992052714,1,2,1,12,39643.7352371949,6636.6668424783,2520.0000667572,33377.4519989911
185,39,5,3,2,3,0,0,0,0,0,1,1,2,1,12,43200,14281,2156,30000.0009155274
186,57,5,7,3,2,0,0,0,0,0,1,1,2,1,12,43200,14281,2156,30000.0009155274
187,40,5,5,8,2.5,0,0,0,0,0,1,1,2,1,12,43200,14256,2156,30000.0009155274
188,60,5,7,4,4,1,0,0,0,0,1.35000006357829,1,2,1,12,39999.9990234375,13930.3697143192,2337.77766768008,28888.8876342774
189,35,5,6,0,1.5,1,0,0,0,0,1,1,2,1,12,43200,15281,2156,30000.0009155274
190,52,4,6,7,2,0,0,0,0,0,1,1,2,1,12,43200,11281,2156,30000.0009155274
191,36,10,4,4,3,1,0,1,1,0,0.900000015894573,0,2,1,10,31199.9996337891,22499.9996026357,7777.77764041727,35199.9986572266
192,42,5,8,0,1.30000003178914,1,0,0,0,0,0.800000031789143,0,2,1,16,43199.9967041016,20337.4991918604,6874.99972681206,33999.9975585938
193,38,8,5,7,1.05000003178914,0,0,0,0,0,0.200000007947286,0,2,1,15,39643.732212618,22174.9991188447,6999.999721845,33377.4489431942
194,43,10,6,12,2.5,1,1,0,0,0,0.5,0,2,1,16,46079.9989013672,21260,7000,38720.0013427735
195,36,15,10,0,3,1,1,1,1,0,1.25,0,2,1,15,43200,19960,6800,36608.0013427735
196,26,1,9,2,4,1,0,0,0,0,0.599999984105427,0,2,1,18,43200,23500.0006225375,6666.66684327304,40000.0012207031
197,35,8,7,8,3.5,0,0,0,0,0,1.5,0,2,1,18,43200,21200,6333.33333333333,31999.9987792969
198,25,0,3,1,1,0,0,0,0,0,0.5,0,2,1,20,43200,21200,7000,31999.9987792969
199,56,0,5,5,2,1,0,0,0,0,1.5,0,2,1,18,43200,21200,6666.66666666667,31999.9987792969
200,70,0,3,3,2,1,0,0,0,1,1,0,2,1,15,39643.7352371949,16000,7000,33377.4519989911
201,48,0,5,4,1.44999996821086,0,0,0,0,0,0.949999968210857,0,2,1,25,50947.371459961,21789.4744133355,7368.42129919558,15157.8945922851
202,35,35,6,0,1.60000006357829,0,0,0,0,0,0.849999984105427,0,2,1,30,41411.765258789,12870.5884759677,4117.64713582146,24094.1176757812
203,35,1,5,0,0.549999992052713,0,0,0,0,0,0.200000007947286,0,2,1,26,53999.9967041016,20999.999165535,6999.999721845,29999.9977111817
204,55,1,3,0,4.30000019073487,0,0,1,0,0,0.450000007947287,0,3,0,26,43200,22888.8884846565,7777.77764041727,25599.9990234375
205,65,0,9,7,1.75,1,1,0,0,0,0.450000007947287,0,2,1,30,43200,23111.1107029542,7777.77764041727,27999.9989318848
206,45,0,6,3,1.60000006357829,0,0,0,0,1,0.299999992052714,0,2,1,26,40800.0025634766,20500.0005430646,6666.66684327303,20000.0015258789
207,19,6,7,4,0.149999996026357,0,0,0,0,0,0.149999996026357,0,2,1,26,39643.7352371949,13333.3336865461,6000.00015894572,32000.0024414063
208,55,2,6,1,5.19999980926513,0,0,0,0,0,0.900000015894573,0,2,1,28,43200,23166.6662575286,7777.77764041727,31111.1109924317
209,58,0,9,0,1.67500003178914,0,0,0,0,1,0.450000007947287,0,2,1,26,43200,22888.8884846565,7777.77764041727,27377.7780761718
210,50,0,6,2,0.5,0,0,0,0,0,0.5,0,2,1,26,35679.3617134754,21400,14000,33600
211,43,9,4,0,2.54999987284342,0,1,0,1,0,1.85000006357829,0,2,1,16,43589.1862792969,19891.8912082744,5675.67548062177,25297.297668457
212,39,0,4,2,3.20000012715658,0,0,0,0,0,2.5,0,2,1,16,43200,19280,6000,37120.0012207031
213,55,4,6,3,4.5,1,1,0,1,0,0.549999992052713,0,2,1,16,39563.63671875,19818.1821045469,6000.00008669767,39272.7268981934
214,47,0,6,0,0.299999992052714,0,0,0,0,0,0.299999992052714,0,2,1,16,44048.5960522508,14083.3337064143,7333.33352760033,32666.6670227051
215,42,0,6,4,0.900000015894573,0,0,0,0,0,0.549999992052713,0,2,1,16,45818.1826171875,24727.2730845722,5818.18190225229,30545.4561767579
216,35,0,4,0,0.5,0,0,0,0,0,0.5,0,2,1,16,39643.7352371949,11500,6000,27999.9989318848
217,55,0,5,5,2.05000003178914,0,0,0,0,0,0.75,0,2,1,18,38400,24666.6666666667,8000,29866.6680908204
218,65,0,11,2,3.5,1,1,0,0,0,0.800000031789143,0,1,0,16,43199.9967041016,22624.9991009633,6249.99975164733,0
219,44,10,5,4,2.14999993642171,0,0,1,0,0,0.650000015894573,0,2,1,16,43200,14999.9996332022,615.384600336499,31999.9998779297
220,45,0,5,3,3,0,0,0,0,0,1,0,1,0,16,44640.0010986328,21500,6000,0
221,39,10,6,1,6,1,0,1,0,0,0.5,0,2,1,16,43200,20200,5000,33600
222,38,12,3,3,1,0,0,0,0,0,0.599999984105427,0,2,1,18,45600.0007324219,17500.0004635917,5000.00013245478,26000.000793457
223,60,7,3,0,12,1,1,0,0,0,2,0,2,1,16,43200,17450,5000,31500
224,44,0,3,3,3,1,0,0,0,0,1,0,2,1,16,36000,19500,5000,38000.0011596679
225,48,4,4,3,2,1,0,0,0,0,1,0,2,1,18,46800.0010986328,19150,5000,39199.9991455078
226,46,5,4,4,1,1,0,0,0,0,0.25,0,2,1,16,39643.7352371949,19380,5200,33279.999206543
227,35,4,6,4,4,0,0,0,0,0,2,0,2,1,18,43200,19450,5000,36399.999206543
228,50,15,7,2,8,1,0,0,1,0,3.5,0,2,1,16,43200,19257.1428571429,5000,28800.000366211
229,49,2,5,0,0.949999968210857,1,0,0,0,0,0.949999968210857,0,2,1,16,45473.6854248047,20000.0006692451,5052.63174801983,24084.2114868164
230,46,0,12,1,1.00999999046326,1,0,0,0,0,0.25,0,1,0,18,36000,22200,5000,0
231,68,15,5,3,16.6666666666667,1,1,0,1,0,0.333333333333333,1,2,1,18,38880,26604,1404,26520
232,50,5,5,5,2,1,0,0,0,0,0.333333333333333,0,2,1,13,40800,28140,4200,21600
233,45,4,4,3,1,1,0,0,0,0,1,0,2,1,14,41799.998840332,22800,4200,21600
234,50,8,6,5,7,1,1,0,0,0,1,0,2,1,18,33600,22630,4200,28800
235,58,2,5,8,3.33333333333333,1,1,0,0,0,0.666666666666667,0,2,1,15,37800,25080,3900,26400
236,50,0,5,5,0.666666666666667,1,0,0,0,0,0.666666666666667,0,2,1,18,39643.7352371949,24735,4200,19025.1470588235
237,45,8,5,4,3,1,1,0,0,0,1.66666666666667,0,2,1,19,43200,24120,4200,30360
238,54,5,6,5,9,1,1,0,0,0,0.666666666666667,0,2,1,15,40800,24525,4200,24840
239,38,8,5,5,1.66666666666667,1,1,0,0,0,1.66666666666667,0,2,1,18,43320,24738,3900,26400
240,40,0,4,2,2.66666666666667,1,1,0,0,0,0.333333333333333,0,2,1,14,31920,28680,3900,34320
241,41,9,9,3,3.33333333333333,0,0,0,1,0,0.333333333333333,1,1,0,20,38400,18930,1620,0
242,45,5,8,5,3,1,1,0,0,0,0.333333333333333,1,1,0,19,36720,24885,4425,0
243,42,10,4,0,1,0,0,0,0,0,1,1,1,0,21,40000.0012207031,21325,3375,0
244,43,9,7,9,2.33333333333333,0,0,0,0,0,0.333333333333333,1,1,0,17,38760,19614,3774,0
245,65,0,6,0,3,0,0,0,0,0,0.666666666666667,1,1,0,15,34560,21592.5,3472.5,0
246,62,4,3,2,3.33333333333333,0,0,0,0,0,0.666666666666667,0,1,0,,0,0,0,36720
247,56,0,2,0,1.33333333333333,0,0,0,0,0,0.666666666666667,1,1,0,16,17839.6808567377,12375,3600,0
248,55,0,2,0,3.33333333333333,1,0,0,0,0,0.666666666666667,1,1,0,16,42120,23094,3804,0
249,35,5,3,0,1,0,0,0,0,0,1,1,2,0,15,48000,18150,3300,0
